City,State,Population,Latitude,Longitude,base_url,some_url
Davidsons Landing,AK,,65.2419444,-165.2716667,https://www.google.com/bob,this is an errorasd
Kenai,AK,7610,60.5544444,-151.2583333,https://wdsgjsl.ez,https://wdsgjsl.ez
Oakman,AL,,33.7133333,-87.3886111,this is an error,this is an error
Richards Crossroads,AL,,31.7369444,-85.2644444,https://www.google.com,https://www.google.com
Sandfort,AL,,32.3380556,-85.2233333,https://www.google.com,https://www.google.com
Selma,AL,18980,32.4072222,-87.0211111,https://www.google.com,https://www.google.com
Shadow Oaks Addition,AR,,34.9555556,-91.9475000,https://www.google.com,https://www.google.com
Summerville,AR,,33.5202778,-92.3555556,https://www.google.com,https://www.google.com
El Mirage,AZ,32308,33.6130556,-112.3238889,https://www.google.com,https://www.google.com
Willow Springs,AZ,,36.1894444,-111.3930556,https://www.google.com,https://www.google.com
Colton,CA,52335,34.0738889,-117.3127778,this is an error,this is an error
Fontana,CA,169160,34.0922222,-117.4341667,https://www.google.com,https://www.google.com
Fountain Valley,CA,56133,33.7091667,-117.9527778,https://www.google.com,https://www.google.com
Kings Beach,CA,,39.2377778,-120.0255556,https://www.google.com,https://www.google.com
Milpitas,CA,62636,37.4283333,-121.9055556,https://www.google.com,https://www.google.com
Mokelumne City,CA,,38.2530556,-121.4380556,https://www.google.com,https://www.google.com
Mount Eden,CA,,37.6361111,-122.0988889,https://www.google.com,https://www.google.com
San Clemente,CA,62272,33.4269444,-117.6111111,https://www.google.com,https://www.google.com
Seal Beach,CA,24404,33.7413889,-118.1038889,https://www.google.com,https://www.google.com
West Hollywood,CA,37031,34.0900000,-118.3608333,https://www.google.com,https://www.google.com
Bridgeport,CT,139090,41.1669444,-73.2052778,https://www.google.com,https://www.google.com
Orange,CT,13860,41.2783333,-73.0261111,https://www.google.com,https://www.google.com


!emK5%oDEh7uZA


- braun Zwischenton 

